term,REMIFENTANIL,FENTANYL,SUFENTANIL,MORPHINE
HYPOMAGNESAEMIA,0,0,11,0
HYPONATRAEMIA,18,436,23,328
HYPOPHAGIA,0,170,0,189
HYPOPNOEA,8,0,0,0
HYPOTENSION,375,2306,561,1518
HYPOTHERMIA,34,153,19,0
HYPOTHYROIDISM,9,193,0,236
HYPOTONIA,15,0,21,0
HYPOVENTILATION,41,0,7,0
HYPOVOLAEMIA,0,0,39,0
HYPOVOLAEMIC SHOCK,10,0,7,0
HYPOXIA,92,685,60,504
HYPOXIC-ISCHAEMIC ENCEPHALOPATHY,14,0,0,0
HYSTERECTOMY,6,0,0,0
ILEUS,12,0,8,0
ILL-DEFINED DISORDER,0,0,0,394
ILLNESS,0,381,0,383
IMMUNE THROMBOCYTOPENIA,6,0,0,0
IMMUNODEFICIENCY,0,0,0,223
IMPAIRED DRIVING ABILITY,0,224,0,0
IMPAIRED HEALING,0,198,0,428
IMPLANT SITE INFECTION,0,0,8,0
INADEQUATE ANALGESIA,11,313,10,82
INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,0,700,0,0
INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,0,526,0,578
INCORRECT DOSE ADMINISTERED,10,427,16,427
INCORRECT DRUG ADMINISTRATION DURATION,0,311,0,0
INCORRECT ROUTE OF DRUG ADMINISTRATION,0,198,0,0
INCORRECT ROUTE OF PRODUCT ADMINISTRATION,7,505,18,218
INFANTILE APNOEA,0,0,10,0
INFECTION,22,838,0,953
INFLAMMATION,0,214,7,493
INFLUENZA,0,324,0,655
INFLUENZA LIKE ILLNESS,0,256,0,344
INFUSION RELATED REACTION,0,230,0,863
INJECTION SITE PAIN,0,237,0,437
INJURY,0,453,21,477
INSOMNIA,7,1588,9,1354
INSPIRATORY CAPACITY DECREASED,0,0,26,0
INTENSIVE CARE UNIT ACQUIRED WEAKNESS,14,0,0,0
INTENTIONAL OVERDOSE,6,321,19,256
INTENTIONAL PRODUCT MISUSE,14,1495,15,798
INTENTIONAL PRODUCT USE ISSUE,18,819,16,610
INTERSTITIAL LUNG DISEASE,18,219,0,0
INTERVERTEBRAL DISC PROTRUSION,0,177,0,138
INTESTINAL OBSTRUCTION,10,232,0,290
INTESTINAL PSEUDO-OBSTRUCTION,0,0,9,0
IRRITABILITY,0,264,0,182
IRRITABLE BOWEL SYNDROME,0,0,0,279
ISCHAEMIA,0,0,13,0
ISCHAEMIC STROKE,0,0,12,0
JAUNDICE,0,0,16,0
JAUNDICE CHOLESTATIC,0,0,11,0
JOINT DISLOCATION,0,0,0,207
JOINT RANGE OF MOTION DECREASED,0,0,0,333
JOINT STIFFNESS,0,0,0,260
JOINT SWELLING,0,471,0,1038
KIDNEY CONGESTION,0,0,7,0
KLEBSIELLA INFECTION,0,0,12,0
KNEE ARTHROPLASTY,0,0,0,219
KOUNIS SYNDROME,43,0,0,0
LABELLED DRUG-DRUG INTERACTION MEDICATION ERROR,8,0,0,0
LABORATORY TEST ABNORMAL,0,0,0,173
LACTIC ACIDOSIS,14,182,44,138
LANGUAGE DISORDER,0,0,8,0
LARYNGEAL OBSTRUCTION,9,0,0,0
LARYNGEAL OEDEMA,9,0,15,0
